Title,Price,Bids,Finish Time,Url
Schwinn Katana Bike ,$135.00 ,28 , 07/12 08:33 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473951
Metal Rolling Locker Cabinet,$50.00 ,7 , 07/12 08:29 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473982
Metal Rolling Locker Cabinet,$55.00 ,11 , 07/12 08:28 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473981
Metal Rolling Locker Cabinet,$45.00 ,8 , 07/12 08:25 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473983
(2) Chairs,$10.00 ,3 , 07/12 08:19 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473987
Wood Desk with Hutch,$25.00 ,2 , 07/12 08:18 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473986
Metal Rolling Clothes Rack,$30.00 ,8 , 07/12 08:17 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473985
Metal Rolling Clothes Rack,$30.00 ,7 , 07/12 08:16 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473984
Schwinn Pathway Bike ,$30.00 ,5 , 07/12 08:15 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473973
Schwinn Ascension Bike ,$55.00 ,10 , 07/12 08:15 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473958
Kent ST700 Bike ,$55.00 ,11 , 07/12 08:12 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473960
Cabinet,$65.00 ,5 , 07/12 08:12 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473980
Bench Seat w/ Table Top,$15.00 ,3 , 07/12 08:11 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473979
Bench Seat w/ Table Top,$5.00 ,1 , 07/12 08:10 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473978
Schwinn Median Bike ,$30.00 ,6 , 07/12 08:09 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473962
GMC Denali Bike,$85.00 ,19 , 07/12 08:09 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473957
Bench Seat w/ Table Top,$15.00 ,3 , 07/12 08:09 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473977
Huffy Tundra Bike ,$25.00 ,4 , 07/12 08:08 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473976
Mongoose Standoff Bike ,$40.00 ,7 , 07/12 08:07 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473975
Huffy Parkside Bike,$10.00 ,1 , 07/12 08:06 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473974
Mongoose Excursion Bike,$25.00 ,4 , 07/12 08:06 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473969
Huffy Cranbrook Bike,$20.00 ,4 , 07/12 08:05 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473968
Hyper Beach Cruiser Bike,$20.00 ,4 , 07/12 08:04 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473972
Trek Multitrak 7300 Bike,$35.00 ,6 , 07/12 08:04 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473967
Kent RoadTech Bike,$30.00 ,6 , 07/12 08:03 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473971
Kent Glendale Bike,$25.00 ,4 , 07/12 08:03 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473966
Schwinn Pathway Bike,$25.00 ,3 , 07/12 08:03 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473961
Schwinn Clairmont Bike ,$25.00 ,5 , 07/12 08:02 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473970
Huffy Trail Runner Bike ,$15.00 ,2 , 07/12 08:02 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473965
Ozone Charger Bike,$25.00 ,4 , 07/12 08:01 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473964
Huffy Trail Runner Bike ,$25.00 ,4 , 07/12 08:00 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473963
Schwinn Admiral Bike,$50.00 ,10 , 07/12 08:00 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473953
Schwinn Sidewinder Bike,$30.00 ,6 , 07/12 07:57 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473955
Drum,$60.00 ,10 , 07/12 07:57 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473945
Drum,$65.00 ,14 , 07/12 07:53 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473946
Ozone 500 Bike ,$25.00 ,5 , 07/12 07:51 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473959
Ozone Aero Bike ,$25.00 ,4 , 07/12 07:51 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473954
(10) Bikes,$105.00 ,20 , 07/12 07:51 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473949
(15) Bikes,$145.00 ,11 , 07/12 07:50 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473948
Diamondback Response Bike,$60.00 ,11 , 07/12 07:49 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473952
(38) Switching Power Supplies ,$665.00 ,46 , 07/12 07:49 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473932
"A/V Equip: Transmitters, NetLink",$995.00 ,37 , 07/12 07:48 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473921
